date	levering_normal_tarif	teruglevering_normal_tarif	levering_low_tarif	teruglevering_low_tarif
45352	5.722	-2.953	1.027	0
45353	0	0	6.917	-5.172
45354	0	0	9.571	-2.594
45355	4.86	-7.795	2.217	0
45356	9.77	-0.014	1.407	0
45357	4.052	-6.375	0.878	0
45358	3.397	-8.56	1.101	0
45359	3.468	-9.322	1.394	0
45360	0	0	4.905	-5.962
45361	0	0	9.365	-1.229
45362	9.864	-0.163	1.426	0
45363	5.513	-2.223	0.809	0
45364	6.487	-1.643	0.852	0
45365	3.77	-9.831	0.884	0
45366	4.746	-8.528	0.815	0
45367	0	0	6.07	-5.735
45368	0	0	8.583	-1.329
45369	5.149	-10.494	2.669	0
45370	4.352	-7.417	0.941	0
45371	4.551	-2.882	1.004	0
45372	3.464	-1.573	2.448	0
45373	6.001	-1.084	1.232	0
45374	0	0	5.62	-9.021
45375	0	0	8.89	-1.916
45376	4.037	-10.486	0.888	0
45377	4.844	-7.125	0.915	0
45378	4.103	-7.173	0.785	0
45379	3.465	-6.784	1.197	0
45380	3.711	-6.988	0.887	0
45381	0	0	9.286	-0.193
45382	0	0	5.891	-4.59
45383	0	0	4.128	-6.504
45384	4.625	-4.525	1.157	0
45385	3.826	-3.901	0.874	0
45386	4.634	-11.986	0.733	0
45387	4.731	-9.261	0.764	0
45388	0	0	3.894	-8.828
45389	0	0	2.943	-14.826
45390	4.504	-5.999	0.749	0
45391	3.691	-3.212	0.808	0
45392	2.564	-14.679	1.023	0
45393	4.807	-2.012	0.996	0
45394	4.983	-14.229	0.752	0
45395	0	0	4.628	-12.826
45396	0	0	5.506	-15.83
45397	3.599	-4.029	1.179	0
45398	5.286	-3.678	0.802	0
45399	3.858	-6.548	1.036	0
45400	2.207	-8.934	0.806	0
45401	5.114	-9.534	1.002	0
45402	0	0	5.744	-9.221
45403	0	0	6.421	-10.585
45404	2.859	-10.119	0.948	0
45405	2.964	-11.76	0.994	0
45406	4.067	-9.012	0.779	-0.001
45407	6.697	-5.706	1.307	0
45408	3.626	-11.844	3.053	0
45409	0	0	5.452	-6.166
45410	0	0	8.728	-2.968
45411	3.368	-14.851	2.372	0
45412	4.565	-10.201	1.678	0